SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,Unnamed: 13
RECLTD,NH,1201.0,1202.99,1200.0,1200.0,1200.0,1181.61,60,72089.8,01-JUN-2023,7,INE020B07JU4,
RECLTD,NI,1166.0,1166.0,1166.0,1166.0,1166.0,1166.05,29,33814.0,01-JUN-2023,1,INE020B07GH7,
RELIANCE,EQ,2480.15,2484.9,2458.0,2463.25,2467.0,2469.9,6734525,16648139919.55,01-JUN-2023,216233,INE002A01018,
SAIL,EQ,82.5,82.95,81.8,82.2,82.2,82.5,22911903,1885205076.25,01-JUN-2023,42513,INE114A01011,
SBICARD,EQ,915.9,917.6,903.0,910.5,912.0,916.95,1139440,1034159949.2,01-JUN-2023,27931,INE018E01016,
SBILIFE,EQ,1241.5,1243.0,1204.4,1207.75,1210.0,1235.0,1041761,1271404301.15,01-JUN-2023,61820,INE123W01016,
SBIN,EQ,581.8,586.4,581.0,582.75,583.05,579.85,17820226,10407510474.15,01-JUN-2023,170662,INE062A01020,
SHREECEM,EQ,25300.0,25395.05,25102.2,25167.3,25165.0,25165.2,31272,788751463.4,01-JUN-2023,11427,INE070A01015,
SHRIRAMFIN,EQ,1399.75,1418.5,1399.75,1410.25,1415.35,1399.75,580575,819832362.9,01-JUN-2023,34952,INE721A01013,
SHRIRAMFIN,YH,1000.1,1000.1,997.0,999.9,999.9,998.2,136,135961.85,01-JUN-2023,8,INE721A07NT3,
SHRIRAMFIN,YK,1077.55,1077.55,1072.25,1072.25,1072.25,1074.5,102,109380.08,01-JUN-2023,3,INE721A07NW7,
SHRIRAMFIN,YL,1110.7,1110.7,1110.5,1110.5,1110.5,1112.09,100,111060.0,01-JUN-2023,2,INE721A07NX5,
SHRIRAMFIN,YN,1539.0,1539.75,1534.0,1537.55,1537.55,1534.0,970,1492194.51,01-JUN-2023,13,INE721A07NZ0,
SHRIRAMFIN,YO,1003.0,1003.0,1000.0,1000.0,1000.0,1006.0,159,159075.0,01-JUN-2023,7,INE721A07OB9,
SHRIRAMFIN,YS,1086.0,1098.0,1086.0,1097.99,1097.99,1086.0,1745,1907663.67,01-JUN-2023,27,INE721A07OF0,
SHRIRAMFIN,YV,997.0,1001.6,986.0,1001.6,1001.6,1007.0,680,674335.8,01-JUN-2023,13,INE721A07OM6,
SHRIRAMFIN,YY,1029.8,1029.8,1029.8,1029.8,1029.8,1029.0,138,142112.4,01-JUN-2023,1,INE721A07OP9,
SHRIRAMFIN,ZC,1440.0,1440.0,1440.0,1440.0,1440.0,1435.34,10,14400.0,01-JUN-2023,1,INE721A07PH3,
SIEMENS,EQ,3551.65,3559.7,3518.0,3534.3,3540.0,3551.65,197495,697634094.15,01-JUN-2023,19979,INE003A01024,
SRF,EQ,2503.0,2520.75,2473.7,2478.55,2480.0,2519.75,485845,1208113086.8,01-JUN-2023,39493,INE647A01010,
SUNPHARMA,EQ,979.8,990.45,975.0,987.7,986.55,975.35,3261906,3208253096.7,01-JUN-2023,74533,INE044A01036,
SUNTV,EQ,447.8,454.3,445.5,453.1,452.0,444.2,622361,280522373.9,01-JUN-2023,11579,INE424H01027,
SYNGENE,EQ,729.0,729.65,720.0,726.55,723.1,725.0,450379,326607999.15,01-JUN-2023,16412,INE398R01022,
TATACHEM,EQ,972.0,976.9,966.15,968.95,967.0,970.6,414830,403001856.2,01-JUN-2023,18683,INE092A01019,
TATACOMM,EQ,1298.25,1346.75,1298.25,1334.0,1331.0,1298.25,716301,953331081.45,01-JUN-2023,34624,INE151A01013,
TATACONSUM,EQ,798.9,801.45,789.35,793.65,792.0,798.65,703293,560879301.45,01-JUN-2023,32810,INE192A01025,
TATAMOTORS,EQ,527.5,536.25,522.85,535.2,534.4,526.3,12511265,6638755708.1,01-JUN-2023,181634,INE155A01022,
TATAPOWER,EQ,213.95,217.0,213.0,215.3,215.0,213.55,6324964,1362425894.45,01-JUN-2023,48724,INE245A01021,
TATASTEEL,EQ,105.9,106.7,105.8,105.95,106.0,105.8,21211538,2251551758.05,01-JUN-2023,94464,INE081A01020,
TCS,EQ,3314.0,3340.0,3297.5,3324.0,3322.0,3289.5,1177314,3915200315.1,01-JUN-2023,107605,INE467B01029,
TECHM,EQ,1122.0,1136.7,1117.6,1120.8,1120.0,1115.55,1412280,1590871155.55,01-JUN-2023,55679,INE669C01036,
TITAN,EQ,2823.25,2837.65,2814.7,2827.25,2820.0,2823.25,538550,1521355131.05,01-JUN-2023,52732,INE280A01028,
TORNTPHARM,EQ,1835.9,1843.85,1763.9,1774.8,1772.05,1835.8,1113670,1999703019.5,01-JUN-2023,79836,INE685A01028,
TRENT,EQ,1564.9,1573.05,1550.0,1562.4,1569.0,1560.45,452507,705405433.8,01-JUN-2023,22832,INE849A01020,
TVSMOTOR,EQ,1286.05,1290.5,1270.0,1272.1,1272.0,1302.8,727641,932163977.0,01-JUN-2023,36180,INE494B01023,
UBL,EQ,1460.0,1474.5,1455.8,1463.1,1461.0,1454.7,245109,359455493.25,01-JUN-2023,18349,INE686F01025,
ULTRACEMCO,EQ,7871.0,7898.8,7809.8,7842.8,7840.0,7870.05,184642,1450841751.65,01-JUN-2023,29538,INE481G01011,
UPL,EQ,685.0,685.1,676.5,677.95,678.4,685.1,2470088,1677652206.25,01-JUN-2023,52454,INE628A01036,
VEDL,EQ,278.0,280.5,277.6,278.1,278.15,278.3,5137986,1432645127.75,01-JUN-2023,63806,INE205A01025,
VOLTAS,EQ,820.05,831.95,819.05,825.4,826.8,821.35,804182,664450960.25,01-JUN-2023,20463,INE226A01021,
WIPRO,EQ,405.0,408.0,404.05,407.15,407.4,403.65,3532742,1437320552.7,01-JUN-2023,59327,INE075A01022,
ZEEL,EQ,195.0,196.75,191.6,192.15,192.5,195.05,5210400,1008402450.95,01-JUN-2023,30814,INE256A01028,
ZYDUSLIFE,EQ,502.3,514.4,500.8,513.4,512.15,502.3,888694,451378134.0,01-JUN-2023,25101,INE010B01027,
