SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,Unnamed: 13
CHOLAFIN,N5,1000.0,1004.0,1000.0,1004.0,1004.0,1006.0,35,35100.0,01-JUN-2023,4,INE121A07QX1,
CIPLA,EQ,950.0,966.5,946.75,964.75,964.1,953.05,1132919,1086919301.85,01-JUN-2023,37737,INE059A01026,
COALINDIA,EQ,230.4,231.9,229.15,230.35,230.0,241.25,35509867,8178979486.45,01-JUN-2023,140655,INE522F01014,
COFORGE,EQ,4566.0,4590.9,4528.55,4562.15,4560.05,4555.1,220301,1004529080.2,01-JUN-2023,27155,INE591G01017,
COLPAL,EQ,1601.95,1625.0,1600.95,1610.9,1608.0,1591.45,216289,349163392.6,01-JUN-2023,16426,INE259A01022,
CONCOR,EQ,671.5,674.85,658.0,659.45,659.4,670.95,377426,251725101.0,01-JUN-2023,9176,INE111A01025,
COROMANDEL,EQ,960.0,962.95,943.2,946.65,946.55,959.85,278264,264885611.7,01-JUN-2023,11582,INE169A01031,
CROMPTON,EQ,275.1,277.25,273.3,273.9,273.75,274.8,1127524,309667090.35,01-JUN-2023,15346,INE299U01018,
CUB,EQ,124.5,125.0,122.3,123.5,123.5,125.15,15647347,1927203388.55,01-JUN-2023,38065,INE491A01021,
CUMMINSIND,EQ,1760.0,1771.8,1745.0,1750.7,1751.0,1759.9,330554,581144847.35,01-JUN-2023,24183,INE298A01020,
DABUR,EQ,555.45,563.9,553.25,556.9,556.95,555.4,1385234,774357720.05,01-JUN-2023,37369,INE016A01026,
DALBHARAT,EQ,2130.0,2168.65,2126.0,2134.5,2130.0,2129.95,211118,453744366.15,01-JUN-2023,24428,INE00R701025,
DEEPAKNTR,EQ,2081.95,2093.35,2069.95,2075.8,2072.0,2073.8,205129,427158039.6,01-JUN-2023,14003,INE288B01029,
DELTACORP,EQ,243.0,244.9,241.15,242.05,242.4,242.6,1358763,330224186.25,01-JUN-2023,13051,INE124G01033,
DIVISLAB,EQ,3451.55,3562.0,3443.6,3525.4,3531.4,3443.6,791714,2796178820.8,01-JUN-2023,60381,INE361B01024,
DIXON,EQ,3893.05,4025.0,3855.15,3909.5,3905.0,3878.75,1483536,5848243614.1,01-JUN-2023,104296,INE935N01020,
DLF,EQ,475.0,480.05,473.05,477.2,475.95,474.9,4270077,2035370253.05,01-JUN-2023,49215,INE271C01023,
DRREDDY,EQ,4509.85,4559.95,4501.05,4552.05,4550.0,4501.05,305791,1389257464.15,01-JUN-2023,40324,INE089A01023,
EICHERMOT,EQ,3713.7,3733.0,3687.0,3716.05,3700.6,3671.95,622442,2312255185.2,01-JUN-2023,55797,INE066A01021,
ESCORTS,EQ,2200.05,2228.0,2175.5,2196.55,2185.0,2176.3,328990,721946296.7,01-JUN-2023,20048,INE042A01014,
EXIDEIND,EQ,211.7,214.5,210.9,211.4,211.25,211.2,2669104,567533712.3,01-JUN-2023,24896,INE302A01020,
FEDERALBNK,EQ,125.25,125.95,124.8,125.5,125.8,125.25,10982556,1376758051.25,01-JUN-2023,42052,INE171A01029,
GAIL,EQ,104.45,105.85,103.5,105.35,105.45,104.8,9465271,996884773.2,01-JUN-2023,41161,INE129A01019,
GLENMARK,EQ,597.65,612.6,596.0,609.6,609.6,597.75,988742,600193898.65,01-JUN-2023,18345,INE935A01035,
GMRINFRA,EQ,40.8,41.2,40.65,40.8,40.75,40.5,6279111,256845633.0,01-JUN-2023,10689,INE776C01039,
GNFC,EQ,589.5,594.95,582.25,583.1,582.3,588.45,827791,487651191.5,01-JUN-2023,15393,INE113A01013,
GODREJCP,EQ,1068.3,1069.0,1051.05,1054.2,1055.9,1058.35,799780,844715882.45,01-JUN-2023,47360,INE102D01028,
GODREJPROP,EQ,1395.0,1423.0,1393.35,1402.7,1400.85,1390.3,690024,974049179.1,01-JUN-2023,32195,INE484J01027,
GRANULES,EQ,281.65,288.8,281.55,288.05,287.8,281.95,1224324,351148632.7,01-JUN-2023,13408,INE101D01020,
GRASIM,EQ,1715.0,1720.0,1700.0,1702.45,1702.8,1718.35,378694,646757884.65,01-JUN-2023,20731,INE047A01021,
GUJGASLTD,EQ,488.5,499.8,483.0,488.25,488.4,506.6,3060387,1504431793.2,01-JUN-2023,53422,INE844O01030,
HAL,EQ,3080.0,3098.0,3060.5,3080.75,3072.3,3117.05,1085016,3339758956.35,01-JUN-2023,56618,INE066F01012,
